,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
175,CNN,Necker cube,theta,Adadelta,0.001,0.0001,48,0.967741935483871,0.8935483870967742,0.8483870967741935,238.29,2.27,0.87720156555773
11,Small,Necker cube,gamma,Adagrad,1e-05,1.0000000000000002e-07,47,0.9653225806451612,0.8838709677419355,0.8483870967741935,222.38,2.17,0.930617327877602
160,CNN,Necker cube,alpha,SGD,0.001,0.0001,31,0.964516129032258,0.8580645161290322,0.8451612903225807,150.51,2.24,0.87413271659847
109,CNN,Mona Lisa,gamma,RMSprop,0.001,0.001,20,0.944758064516129,0.864516129032258,0.8419354838709677,94.54,2.19,0.8687511119017969
161,CNN,Necker cube,gamma,RMSprop,0.001,0.001,14,0.8491935483870968,0.7903225806451613,0.8419354838709677,68.23,2.28,0.8696406333392636
209,CNN,Mona Lisa,delta,SGD,0.001,0.0001,90,0.9641129032258065,0.9064516129032258,0.8419354838709677,421.98,2.21,0.8701743462017435
14,Small,Mona Lisa,theta,SGD,1e-05,1e-05,73,0.9532258064516128,0.7935483870967742,0.8419354838709677,335.44,2.18,0.9249688667496888
69,Big,Necker cube,beta,Adam,0.01,0.01,7,0.864516129032258,0.7903225806451613,0.8387096774193549,33.61,2.19,0.9185643123999288
107,Big,Necker cube,gamma,Adam,0.01,0.01,12,0.8883064516129032,0.8483870967741935,0.8387096774193549,57.11,2.15,0.9032645436755026
25,Big,Mona Lisa,beta,NAdam,0.01,0.001,23,0.9346774193548388,0.8451612903225807,0.8387096774193549,106.0,2.08,0.9516100338018146
140,Small,Necker cube,theta,SGD,1e-05,1e-05,126,0.9620967741935484,0.8580645161290322,0.8387096774193549,586.49,2.19,0.9310620885963352
27,CNN,Necker cube,gamma,Adadelta,0.001,0.001,40,0.9362903225806452,0.8354838709677419,0.8387096774193549,195.8,2.24,0.8669275929549902
189,Big,Necker cube,gamma,Adamax,0.01,0.01,8,0.9125,0.8387096774193549,0.8354838709677419,37.88,2.15,0.9132716598470024
3,Big,Mona Lisa,alpha,SGD,0.01,0.001,50,0.9544354838709678,0.8709677419354839,0.8354838709677419,221.82,2.07,0.922611634940402
98,CNN,Necker cube,theta,SGD,0.001,0.001,26,0.9552419354838708,0.8838709677419355,0.8354838709677419,126.93,2.27,0.8638587439957303
20,Big,Necker cube,alpha,Adagrad,0.01,0.01,17,0.9169354838709678,0.8387096774193549,0.8354838709677419,80.97,2.19,0.923412204234122
